"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"concacaf nations league","2K+","July 23, 2026 at 7:30:00 PM UTC-4","July 24, 2026 at 12:30:00 AM UTC-4","concacaf nations league","./explore?q=concacaf%20nations%20league&geo=US"
"st. gallen vs benfica","10K+","July 23, 2026 at 1:30:00 PM UTC-4","July 23, 2026 at 5:00:00 PM UTC-4","st. gallen vs benfica,st gallen - benfica","./explore?q=st.%20gallen%20vs%20benfica&geo=US"
"jackie bradley jr","2K+","July 23, 2026 at 7:40:00 PM UTC-4","July 23, 2026 at 10:10:00 PM UTC-4","jackie bradley jr","./explore?q=jackie%20bradley%20jr&geo=US"
"daria snigur","200+","July 24, 2026 at 5:40:00 AM UTC-4","July 24, 2026 at 7:10:00 AM UTC-4","daria snigur","./explore?q=daria%20snigur&geo=US"
"ron marinaccio","2K+","July 23, 2026 at 4:30:00 PM UTC-4","July 23, 2026 at 6:30:00 PM UTC-4","ron marinaccio","./explore?q=ron%20marinaccio&geo=US"
"fifa team of the tournament 2026","2K+","July 23, 2026 at 6:20:00 PM UTC-4","July 23, 2026 at 8:50:00 PM UTC-4","fifa team of the tournament 2026","./explore?q=fifa%20team%20of%20the%20tournament%202026&geo=US"
"kyle busch","2K+","July 23, 2026 at 2:20:00 PM UTC-4","July 23, 2026 at 4:40:00 PM UTC-4","kyle busch","./explore?q=kyle%20busch&geo=US"
"twins","2K+","July 23, 2026 at 3:40:00 PM UTC-4","July 23, 2026 at 5:20:00 PM UTC-4","twins,guardians","./explore?q=twins&geo=US"
"corinthians vs remo","2K+","July 23, 2026 at 6:20:00 PM UTC-4","July 23, 2026 at 8:00:00 PM UTC-4","corinthians vs remo,corinthians x remo","./explore?q=corinthians%20vs%20remo&geo=US"
"goal","200+","July 24, 2026 at 3:50:00 AM UTC-4","July 24, 2026 at 4:50:00 AM UTC-4","goal","./explore?q=goal&geo=US"
"córdoba - sevilla","1K+","July 23, 2026 at 3:20:00 PM UTC-4","July 23, 2026 at 6:10:00 PM UTC-4","córdoba - sevilla","./explore?q=c%C3%B3rdoba%20-%20sevilla&geo=US"
"padres - braves","1K+","July 23, 2026 at 12:00:00 PM UTC-4","July 23, 2026 at 1:30:00 PM UTC-4","padres - braves","./explore?q=padres%20-%20braves&geo=US"
"cal stark","1K+","July 23, 2026 at 1:50:00 PM UTC-4","July 23, 2026 at 3:10:00 PM UTC-4","cal stark","./explore?q=cal%20stark&geo=US"
"sports calendar","200+","July 24, 2026 at 3:20:00 AM UTC-4","July 24, 2026 at 4:20:00 AM UTC-4","sports calendar","./explore?q=sports%20calendar&geo=US"
"weather game","200+","July 24, 2026 at 3:50:00 AM UTC-4","July 24, 2026 at 4:30:00 AM UTC-4","weather game","./explore?q=weather%20game&geo=US"
"randy dobnak","500+","July 23, 2026 at 7:40:00 PM UTC-4","July 23, 2026 at 8:30:00 PM UTC-4","randy dobnak","./explore?q=randy%20dobnak&geo=US"
"alexander bublik","500+","July 23, 2026 at 11:10:00 AM UTC-4","July 23, 2026 at 12:10:00 PM UTC-4","alexander bublik","./explore?q=alexander%20bublik&geo=US"
"usatf outdoor championships 2026","500+","July 23, 2026 at 8:50:00 PM UTC-4","July 23, 2026 at 9:20:00 PM UTC-4","usatf outdoor championships 2026","./explore?q=usatf%20outdoor%20championships%202026&geo=US"
"paula badosa","500+","July 23, 2026 at 10:30:00 AM UTC-4","July 23, 2026 at 11:30:00 AM UTC-4","paula badosa","./explore?q=paula%20badosa&geo=US"
"ind vs zimbabwe","500+","July 23, 2026 at 10:10:00 AM UTC-4","July 23, 2026 at 11:00:00 AM UTC-4","ind vs zimbabwe","./explore?q=ind%20vs%20zimbabwe&geo=US"
"diamondbacks","1K+","July 23, 2026 at 7:00:00 PM UTC-4","July 23, 2026 at 7:20:00 PM UTC-4","diamondbacks","./explore?q=diamondbacks&geo=US"
"vaibhav sooryavanshi","500+","July 23, 2026 at 9:50:00 AM UTC-4","July 23, 2026 at 10:40:00 AM UTC-4","vaibhav sooryavanshi","./explore?q=vaibhav%20sooryavanshi&geo=US"
"richard carapaz","500+","July 23, 2026 at 11:40:00 AM UTC-4","July 23, 2026 at 12:20:00 PM UTC-4","richard carapaz","./explore?q=richard%20carapaz&geo=US"
"gavin williams","500+","July 23, 2026 at 2:50:00 PM UTC-4","July 23, 2026 at 3:30:00 PM UTC-4","gavin williams","./explore?q=gavin%20williams&geo=US"
"fc 27","500+","July 23, 2026 at 12:50:00 PM UTC-4","July 23, 2026 at 1:20:00 PM UTC-4","fc 27","./explore?q=fc%2027&geo=US"
"charley hull","500+","July 23, 2026 at 5:40:00 PM UTC-4","July 23, 2026 at 6:00:00 PM UTC-4","charley hull","./explore?q=charley%20hull&geo=US"
"middlesbrough","500+","July 23, 2026 at 12:30:00 PM UTC-4","July 23, 2026 at 1:00:00 PM UTC-4","middlesbrough","./explore?q=middlesbrough&geo=US"
"scott dixon","500+","July 23, 2026 at 12:50:00 PM UTC-4","July 23, 2026 at 1:10:00 PM UTC-4","scott dixon","./explore?q=scott%20dixon&geo=US"
